,product_name,Product_Number,Bluetooth,Main Camera Resolution,Internal Memory,Processor,Battery Capacity,Display Resolution,Display Size (inch),Network,Weight (g),Processor,Dimensions,RAM,Talk Time,image,price,key features
10,262175,Samsung Galaxy Note8 (128GB),"v5.0 LE up to 2Mbps (A2DP,AVRCP,DI,HFP,HID,HOGP,HSP,MAP,OPP,PAN,PBAP)","[Main] 12MP Dual Pixel F1.7, OIS",128GB,"Octa-Core, 2.35GHz Quad+ 1.9GHzQuad","3,300 mAh",2960 x 1440,"6.3” (160.5mm , full rectangle) Quad HD+ Super AMOLED","4G FDD-LTE: B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),",195g,"Octa-Core, 2.35GHz Quad+ 1.9GHzQuad",162.5 (L) x 74.8 (W) x 8.6 (D) mm,The built-in 128GB,N/A,1f4d2fb58fac100852afdebdb4f54ffca4664aea.jpg,7598.0,"Expressive & Convenient S Pen
Live Message: Create & share animated GIF image that contains handwriting and self-made Emoji.
Screen off memo & Editable Always On Display (AOD) reminder: Expandable screen-off memo with up to 100 pages.  Users can pin to AOD & edit anytime
Translate: Sentence translation or Currency/Unit Conversion by hovering the S Pen on articles or documents.
Stunning design of 18.5:9 Infinity Display
6.3” Quad HD+ Super AMOLED Infinity Display (2960 x 1440, 521ppi)
App Pair: Launch two apps at once for fast multitasking
Larger screen with a comfortable grip
Dual lens rear camera
2X optical zoom: Clearer close-up photo 
OIS in both main & telephoto cameras
Live Focus: Focus on a particular subject by blurring the background (Bokeh effect). The strength of blur is adjustable in camera preview and gallery.
Dual Capture: show more background area taken by main camera.
Support Dual Pixel photodiode sensor: Get sharp noise-free close-up photos even in lowlight"
11,260943,Sony Xperia™ XZ1 Compact,Bluetooth™ 5.0,19 Megapixels Sony Exmor RS™ for mobile image sensor,32GB,Qualcomm® Snapdragon 835 64-bit 2.45GHz/ 1.9GHz Octa Core Processor,2700 mAh,1280 x 720 pixels,4.6” HD display,"TDD-LTE Band38(2600), Band39(1900), Band40(2300), Band41(2500)",143 g,Qualcomm® Snapdragon 835 64-bit 2.45GHz/ 1.9GHz Octa Core Processor,129 x 65 x 9.3 mm,4GB,N/A,a575837dd5f56068c666be9f3fa9db832688c9f5.jpg,4298.0,"Premium compact design with highest level IP68 water resistant and dust-tight(1) design
8MP front camera with 120 degrees Super wide-angle selfie, and 5-axis video stabilization
Motion Eye™ camera with new Autofocus burst in 19MP up to 100 shots (10fps)
World’s first smartphones with real-time 3D capture(2), supporting various 3D apps and 3D printing 
New Predictive Capture and 960fps Super slow motion video capture 
Qualcomm® Snapdragon™ 835 Mobile Platform supports Cat 15 LTE(3) (up to 800Mbps downlink speed)
(1) Xperia™ XZ1 Compact is water resistant and protected against dust, so don’t worry if you get caught in the rain or want to wash off dirt under a tap water, but remember all ports and attached covers should be firmly closed. You should not put the device completely underwater; or expose it to seawater, salt water, chlorinated water or liquids such as drinks. Abuse and improper use of device will invalidate warranty. The device has been tested under Ingress Protection rating IP65/68. For more info, see http://support.sonymobile.com/global-en/dm/waterproof. Note the Xperia™ XZ1 Compact has a capless USB port to connect and charge. The USB port needs to be completely dry before charging.
(2) Out of the box Xperia™ XZ1/XZ1 Compact can capture and create 3D objects on-device in real time. High resolution object scans are performed quickly (15-60 seconds) using the device camera and Sony’s 3D Creator app. Verified by Strategy Analytics’ SpecTRAX Service against the published camera sensor specifications for over 11,000 smartphones. Correct as of the 31st August 2017.
(3) Dependent on network availability and compatibility"
12,262174,Samsung Galaxy Note8 (64GB),"v5.0 LE up to 2Mbps (A2DP,AVRCP,DI,HFP,HID,HOGP,HSP,MAP,OPP,PAN,PBAP)","[Main] 12MP Dual Pixel F1.7, OIS",64GB,"Octa-Core, 2.35GHz Quad+ 1.9GHzQuad","3,300 mAh",2960 x 1440,"6.3” (160.5mm , full rectangle) Quad HD+ Super AMOLED","4G FDD-LTE: B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),",195g,"Octa-Core, 2.35GHz Quad+ 1.9GHzQuad",162.5 (L) x 74.8 (W) x 8.6 (D) mm,The built-in 64GB,N/A,382e19e4e22d3487d84252ceeab214c951660544.jpg,6998.0,"Expressive & Convenient S Pen
Live Message: Create & share animated GIF image that contains handwriting and self-made Emoji.
Screen off memo & Editable Always On Display (AOD) reminder: Expandable screen-off memo with up to 100 pages.  Users can pin to AOD & edit anytime
Translate: Sentence translation or Currency/Unit Conversion by hovering the S Pen on articles or documents.
Stunning design of 18.5:9 Infinity Display
6.3” Quad HD+ Super AMOLED Infinity Display (2960 x 1440, 521ppi)
App Pair: Launch two apps at once for fast multitasking
Larger screen with a comfortable grip
Dual lens rear camera
2X optical zoom: Clearer close-up photo 
OIS in both main & telephoto cameras
Live Focus: Focus on a particular subject by blurring the background (Bokeh effect). The strength of blur is adjustable in camera preview and gallery.
Dual Capture: show more background area taken by main camera.
Support Dual Pixel photodiode sensor: Get sharp noise-free close-up photos even in lowlight"
13,260057,Xiaomi Mi A1,Bluetooth 4.2,12MP Dual Camera,64GB,Snapdragon 625 Octa-core  2.0GHz,3000/3080mAh (min/typ),1920 x 1080,5.5 inch,"4G FDD-LTE: B1 (2100 MHz), B3 (1800 MHz), B4 (1700 MHz), B5 (850 MHz), B7 (2600 MHz), B8 (900 MHz), B20 (800 MHz)",165 g,Snapdragon 625 Octa-core  2.0GHz,155.4 x 75.8 x 7.3mm (0.73mm bump),4GB,18hrs,fc28d8ebd9b9f40ce3115f130058a5aba9ae4cef.jpg,1799.0,"Android One, pure Android and simple 
Optical Zoom (2X) with dual camera
4GB RAM +64GB ROM Large Capacity
Qualcomm Snapdragon 625 Processor
5.5” Large Display
Fingerprint sensor"
14,263217,Moto G5S Plus,4.2 LE + EDR,13 Megapixels + 13 Megapixels,32GB,MSM8953 2.0GHz Octa-core  Processor,3000 mAh,1920 x 1080 pixels,5.5” FHD  display,"LTE: B1 (2100),B3 (1800),B5 (850),B7 (2600),B8 (900),B19 (Japan 850)
B20 (800 DD),B28 (700 APT),B38 (TD2600),B40 (TD2300),B41 (Narrow)",170 g,MSM8953 2.0GHz Octa-core  Processor,153.5 x 76.15 x 8.04  mm,4GB,N/A,4aefc63ee6a90028ade7f20e6e804efca2ce7e01.jpg,2599.0,"13 MP +13 MP 
5.5” FHD LCD display
Turbo Charger
2.0  GHz Octa-core energy efficient processor
3000mAh battery"
15,262176,Samsung Galaxy Note8 (256GB),"v5.0 LE up to 2Mbps (A2DP,AVRCP,DI,HFP,HID,HOGP,HSP,MAP,OPP,PAN,PBAP)","[Main] 12MP Dual Pixel F1.7, OIS",256GB,"Octa-Core, 2.35GHz Quad+ 1.9GHzQuad","3,300 mAh",2960 x 1440,"6.3” (160.5mm , full rectangle) Quad HD+ Super AMOLED","4G FDD-LTE: B1(2100),B2(1900),B3(1800),B4(AWS),B5(850),B7(2600),B8(900),",195克,"Octa-Core, 2.35GHz Quad+ 1.9GHzQuad",162.5 (長) x 74.8 (闊) x 8.6 (深) 毫米,The built-in 256GB,N/A,f8a1ef7b4d5192f9c510c8f0cd663ac45d618033.jpg,8198.0,"Expressive & Convenient S Pen
Live Message: Create & share animated GIF image that contains handwriting and self-made Emoji.
Screen off memo & Editable Always On Display (AOD) reminder: Expandable screen-off memo with up to 100 pages.  Users can pin to AOD & edit anytime
Translate: Sentence translation or Currency/Unit Conversion by hovering the S Pen on articles or documents.
Stunning design of 18.5:9 Infinity Display
6.3” Quad HD+ Super AMOLED Infinity Display (2960 x 1440, 521ppi)
App Pair: Launch two apps at once for fast multitasking
Larger screen with a comfortable grip
Dual lens rear camera
2X optical zoom: Clearer close-up photo 
OIS in both main & telephoto cameras
Live Focus: Focus on a particular subject by blurring the background (Bokeh effect). The strength of blur is adjustable in camera preview and gallery.
Dual Capture: show more background area taken by main camera.
Support Dual Pixel photodiode sensor: Get sharp noise-free close-up photos even in lowlight"
16,263314,Apple iPhone 8 (64GB),Bluetooth 5.0,New 12-megapixel,Up to 64GB,A11 Bionic chip with 64-bit architecture,N/A,1334 x 750 pixels,4.7-inch (diagonal) widescreen LCD Multi-Touch display with IPS technology,FDD-LTE (Bands 1、2、3、4、5、7、8、12、13、17、18、19、20、25、26、28、29、30、66),148(with battery),A11 Bionic chip with 64-bit architecture,138.4 x 67.3 x 7.3,N/A,Talk time (wireless): Up to 14 hours,a193e61a1d9e282933974ffffb9fbf7f955b9fb1.jpg,5988.0,"4.7-inch (diagonal) widescreen LCD Multi-Touch display with IPS technology
Retina HD display with True Tone, a wide color gamut (P3), and 3D Touch
All‑Glass Design
12MP cameras, 4K video, and 7MP FaceTime HD camera
A11 Bionic chip with 64-bit architecture
Rated IP67 Splash, Water, and Dust Resistant
Wireless charging (works with Qi chargers)"
17,260056,Nokia 8,Bluetooth 5.0,1300MP(Color) + 1300MP(Mono),64GB,Qualcomm® Snapdragon 835 (MSM8998) Octacore processor,3090mAh,"WQHD (2560 x 1440, 16:9)",5.3 Inch,"4G FDD-LTE: B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B20(800), B28(700)",158g,Qualcomm® Snapdragon 835 (MSM8998) Octacore processor,H: 151.5 mm x W: 73.7 mm x T: 7.9 mm,4 GB LPPDDR 4X,Up to 23.5 hours,62e657babbabea145d49695e9f0b6b6add2838f8.jpg,4088.0,"The Nokia 8 undergoes a rigorous 40-stage process of machining, anodizing and polishing to ensure its distinctive design pairs flawlessly with the polished aluminium unibody. The ultimate in seamless unibody construction, Nokia 8 is designed to nestle perfectly in the palm of your hand.
Nokia 8 features a 13 MP dual image-fusion rear camera with both colour and monochrome sensors, plus a wide-angle 13 MP phase detection auto-focus front camera
A first for mobile phones, the exclusive Dual-Sight mode lets you use both front and back cameras simultaneously for split-screen photos and video.
The latest Android Nougat experience, and fast software updates to keep your phone up-to-date and secure"
18,259226,Huawei Y6 Pro 2017,Bluetooth 4.1,13MP Rear Camera,16GB,"Qualcomm® MSM8917, Quad-core (4 x A53 1.4 GHz)","3,020mAh non removable battery",720p (1280 x 720),5” inches,SIM 1:,145g,"Qualcomm® MSM8917, Quad-core (4 x A53 1.4 GHz)",143.5 (L) x 71 (W) x 8.05(H)mm,2GB,about 25 hours,7618592512a752644c0971649c7a07feda9d516b.jpg,1280.0,"13MP main camera & 5MP front camera
5” IPS display with eye care mode
Metallic body with 2.5D screen
Smarter fingerprint"
19,258145,Onkyo Granbeat,Bluetooth 4.1 (Qualcomm® aptX™ HD),Main: 16 Mega pixels,128GB,Qualcomm MSM8956 Hexa-Core (Dual Core 1.8G+Quad Core 1.4G),"3,000 mAh / 3.8 V (corresponding to Qualcomm Quick Charge 3.0)",1920 x 1080 pixels,5.0-inch,LTE Band B1/3/7/8/19/26,234g(with battery),Qualcomm MSM8956 Hexa-Core (Dual Core 1.8G+Quad Core 1.4G),72 x 142.3 x 11.9mm,3GB,"Continuous talk time: 22 h ( Condition Single SIM, guideline for LCD off operation)",96e07d06772131e815435cb2b0e047186d626b6e.jpg,5998.0,"Twin ESS DAC “ES9018C2M” and Twin Headphone AMP”s “SABRE 9601K” Provide detail and powerful sound
Independent Audio Circuit Broad, reduces noise effects and suppresses signal deterioration to the utmost limits
Supports Dual SIM (Nano SIMx2)/ Dual Standby, SIM and micro SD slots have independent structures
Quick charge 3.0 ensures the phone is fully charged in only 90 minutes 
2.5mm Balanced Headphone Output
5.0-inch IPS Full-HD Screen"
20,257614,Xiaomi Mi 6,Bluetooth 5.0,12MP Dual Camera,128GB,Snapdragon 835 Octa-core 2.45GHz,3250/3350mAh (min/typ),1920 x 1080,5.15 inch,"4G FDD-LTE: B1 (2100 MHz), B3 (1800 MHz), B5 (850 MHz), B7 (2600 MHz), B8 (900 MHz)","168g(Blue),182g(Ceramic Black)",Snapdragon 835 Octa-core 2.45GHz,145.17 x 70.49 x 7.45mm,6GB,26 hrs,75ef74441dcaaeded11a53496d0ce6a889bfe94e.jpg,3499.0,"Qualcomm Snapdragon 835 Flagship Processor
12MP Dual Camera with Optical Zoom and OIS Anti Share Feature
6GB RAM, 128 ROM large storage capacity
NFC Feature
Fingerprint recognition"
21,258419,ASUS ZenFone 4,Bluetooth™ 4.2 + A2DP + EDR,1200 Megapixels f/1.8  aperture + 800 Megapixels f2.2/ aperture 120 wide view,64GB,Qualcomm® Snapdragon™ SDM630 2.2GHz 64-bit Octa-Core Processor,3300 mAh,1920 x 1080 pixels,5.5” FHD  AMOLED display,TDD-LTE  Band 38/39/40/41,165 g,Qualcomm® Snapdragon™ SDM630 2.2GHz 64-bit Octa-Core Processor,158.67 x 77.4 x 7.99/8.95 mm,4GB,1576 mins (3G) / 1752 mins (4G),dd4397e5f5dda7f638f1b89c5fae7dda8d3d1e9a.jpg,2998.0,"Dual lens 12 million pixels Sony IMX362 sensor 1.8 Aperture + 800 million pixels 2.2 Aperture 120 ° wide-angle lens  
Qualcomm® Snapdragon™ 630 with 4GB RAM
5.5“ FHD display Front & rear 2.5D Corning Gorilla Glass 
Hi-res audio & DTS Headphone:X supported"
22,258657,LG Q6+,v4.2 BLE,13 MP (F2.2),64GB,Qualcomm® Snapdragon™ Octa-core 1.4GHz,3000 mAh (Li-Ion)  Bulit-in battery,1080x2160,5.5inch,GSM 850(B5)/ 900(B8)/ 1800(B3)/ 1900(B2) MHz,149g,Qualcomm® Snapdragon™ Octa-core 1.4GHz,142.5 x 69.3 x 8.1 mm,4GB,1320mins (2G) / 960mins (3G),9d80a2352bfea3f5880333041d09088f3d52f9fa.jpg,2298.0,"5.5” FHD+ 18:9 display with slim bezel  
Support Face Recognition to unlock
Support Dual SIM & microSD 
4GB RAM/ 64GB ROM"
23,259768,ASUS ZenFone 4 Pro,Bluetooth™ 4.2 + A2DP +EDR,1200 Megapixels f/1.7  aperture +1600 million pixels 2.6 Aperture 2 x optical zoom,128GB,Qualcomm® Snapdragon™ SDM835 2.2GHz 64-bit Octa-Core Processor,3600 mAh,1920 x 1080 pixels,5.5” FHD  AMOLED display,TDD-LTE  Band 38/39/40/41(2545~2655MHz),175 g,Qualcomm® Snapdragon™ SDM835 2.2GHz 64-bit Octa-Core Processor,156.9*75.6*7.6 mm,6GB,1752 mins (3G) / 1680 mins (4G),73fe7a920bb1f475faff6e27e8f80366633881f4.jpg,5598.0,"Dual lens 12 million pixels Sony IMX362 sensor 1.7 Aperture + 1600 million pixels 2.6 Aperture 2 x optical zoom  
Qualcomm® Snapdragon™ 835 with 6GB /128 ROM
5.5“ 16:9 FHD display Front & rear 2.5D Corning Gorilla Glass 
Hi-res audio & DTS Headphone:X supported
3600mAh battery support Quick charge 4.0"
24,260007,Sony Xperia™ XZ1,Bluetooth™ 5.0,19 Megapixels Sony Exmor RS™ for mobile image sensor,64GB,Qualcomm® Snapdragon 835 64-bit 2.45GHz/ 1.9GHz Octa Core Processor,2700 mAh,1080 x 1920 pixels,5.2” Full HD display,"TDD-LTE Band38(2600), Band39(1900), Band40(2300), Band41(2500)",156 g,Qualcomm® Snapdragon 835 64-bit 2.45GHz/ 1.9GHz Octa Core Processor,148 x 73 x 7.4 mm,4GB,N/A,ea6a1c51b452f88150b65d8b3084bc7c0d08eb32.jpg,5598.0,"Motion Eye™ camera with new Autofocus burst in 19MP up to 100 shots (10fps)
World”s first smartphones with real-time 3D capture(1), supporting various 3D apps and 3D printing
New Predictive Capture and 960fps Super slow motion video capture
5.2” HDR display with Hi-Res audio
Qualcomm®  Snapdragon™ 835 Mobile Platform supports USB 3.1 Gen 1(2)
High speed Cat 16 Gigabit Class LTE(3) (up to 1Gbps downlink and 150Mbps uplink speed)
7.4mm unified metallic slim design
 
(1) Out of the box Xperia™ XZ1/XZ1 Compact can capture and create 3D objects on-device in real time. High resolution object scans are performed quickly (15-60 seconds) using the device camera and Sony”s 3D Creator app. Verified by Strategy Analytics” SpecTRAX Service against the published camera sensor specifications for over 11,000 smartphones. Correct as of the 31st August 2017.
(2) Use USB cable supporting USB 3.1, up to 5Gb/s transfer speed.
(3) Applicable under 1 SIM only and dependent on network availability and compatibility"
25,257271,ASUS Zenfone AR,Bluetooth™ 4.2 + A2DP +EDR,"2300 Megapixels f/2.0  aperture, 6 P Largan lens",128GB,Qualcomm® Snapdragon™ 821 @2.35 GHz x 2 + 1.6 GHz x 2 Quad-Core,3300 mAh,2560 x 1440 pixels,5.7” WQHD Super AMOLED display,"FDD-LTE (Bands 1, 3, 5, 7, 8, 18, 19, 20, 26 28)",175 g,Qualcomm® Snapdragon™ 821 @2.35 GHz x 2 + 1.6 GHz x 2 Quad-Core,158.67 x 77.4 x 7.99-8.95 mm,8GB,1198 mins (2G) / 930 mins (3G),553ed89bfeb9651e1165b11b91073ea08aa16e9f.jpg,6598.0,"The 1st smartphone support Google Tango (AR) & Google Daydream (VR) in mobile apps
23MP camera with Sony IMX 318 sensor, TriTech autofocus, OIS+EIS, and 4K UHD video recording 
Qualcomm S821 CPU with 8GB RAM
5.7” WQHD Super AMOLED display with ASUS Tru2Life Tech
Quick Charge 3.0 technology"
26,256718,Huawei nova 2 Plus,Bluetooth 4.2,12MP + 8MP Dual Rear Camera,128GB,HUAWEI Kirin 659 Octa-core processor (4*Cortex A53 2.36GHz + 4*Cortex A53 1.7GHz),"3,240mAh non removable battery",1080p (1920 x 1080),5.5 inches,4G TDD LTE: Band 38/39/40/41,169g,HUAWEI Kirin 659 Octa-core processor (4*Cortex A53 2.36GHz + 4*Cortex A53 1.7GHz),153.9 x 74.9 x 6.90 mm,4GB,about 20 hours,5ea1cae783566ca1004755d31ce39ab301e60739.jpg,3398.0,"Simplicity Sophistication: Metal unibody with 6.9mm super slim
Capture every exquisite detail: 20MP Front Camera; Dual Rear Camera 12MP+8MP dual camera with F1.8, 1.25μm large pixel & Optical Zoom 
Largest Storage: 128GB ROM
Fantastic audio experience: Hi-Fi chipset ; Huawei self-developed audio technology---Histen 
Three color : Graphite Black / Prestige Gold /Aurora Blue"
27,256055,Motorola Moto E4 Plus,Bluetooth™ 4.2,13 Megapixels,32GB,MTK6737 1.3GHz Quad Core Processor,5000 mAh,1280 x 720 pixels,5.5” HD  display,TDD-LTE: B40(2300),198 g,MTK6737 1.3GHz Quad Core Processor,155 x 77.5 x 9.55 mm,3GB,22.3 hours (3G) / 22.4 hours (LTE),8a610073e2c96986f964b11e87592818d917d8cf.jpg,1599.0,"13MP Camera
5.5” HD IPS display 
1.3GHz Quad-core energy efficient processor
5000mAh battery"
